title,author,publisher,price,original_price,discount,rating,image_url,book_url
Bir Aile Meselesi,Serdar Çankaya,DOĞAN KİTAP,"181,45",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12081356/wi:100/wh:true,https://www.kitapyurdu.com/kitap/bir-aile-meselesi/723556.html
Momo,Michael Ende,PEGASUS YAYINLARI,"189,65",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11997622/wi:100/wh:true,https://www.kitapyurdu.com/kitap/momo/434330.html
Simyacı (Ciltsiz),Paulo Coelho,CAN YAYINLARI,"155,48",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11819904/wi:100/wh:true,https://www.kitapyurdu.com/kitap/simyaci-ciltsiz/27328.html
Anna Karenina (Ciltsiz),Lev N. Tolstoy,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,"196,40",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:6828407/wi:100/wh:true,https://www.kitapyurdu.com/kitap/anna-karenina-ciltsiz/261990.html
Bilinçaltının Gücü & Zihinsel ve Bedensel İyileşme,Joseph Murphy,DİYOJEN YAYINCILIK,"125,38",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11403822/wi:100/wh:true,https://www.kitapyurdu.com/kitap/bilincaltinin-gucu-zihinsel-ve-bedensel-iyilesme/579761.html
İyilik Timi,Metin Özdamarlar,TİMAŞ İLK GENÇ,"94,35",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11911830/wi:100/wh:true,https://www.kitapyurdu.com/kitap/iyilik-timi/687154.html
Sır Küpü,Caner Taşpınar,KIRMIZI KEDİ YAYINEVİ,"185,90",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12094264/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sir-kupu/727176.html
Postayla Gelen Deniz Kabuğu,Behiç Ak,GÜNIŞIĞI KİTAPLIĞI,"178,48",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:274942/wi:100/wh:true,https://www.kitapyurdu.com/kitap/postayla-gelen-deniz-kabugu/346303.html
Çalınan Dikkat,Johann Hari,METİS YAYINLARI,"250,37",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11705110/wi:100/wh:true,https://www.kitapyurdu.com/kitap/calinan-dikkat/631597.html
Sözcüklerin Kamera Arkası,Ferhat Taştekin,TİMAŞ İLK GENÇ,"85,70",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11921869/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sozcuklerin-kamera-arkasi/689467.html
İnsanın Anlam Arayışı,Viktor Emil Frankl,OKUYAN US YAYIN,"152,20",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11614703/wi:100/wh:true,https://www.kitapyurdu.com/kitap/insanin-anlam-arayisi/131878.html
